spacing_um,monitor,T
0.8,power_y_01,-0.457933
0.8,power_y_02,-0.480674
0.8,power_y_03,-0.439322
0.8,power_y_04,-0.472449
0.8,power_y_05,-0.543128
0.8,power_y_06,-0.457731
0.8,power_y_07,0.527860
0.8,power_y_08,0.525191
0.8,power_y_09,0.532599
0.8,power_y_10,0.541598
1.2,power_y_01,-0.977878
1.2,power_y_02,-0.973379
1.2,power_y_03,-1.003320
1.2,power_y_04,-0.988912
1.2,power_y_05,-0.988162
1.2,power_y_06,0.020719
1.2,power_y_07,0.022967
1.2,power_y_08,0.020902
1.2,power_y_09,0.022841
1.2,power_y_10,0.022363
